연령대,성별,흡연여부,음주여부,가족력,기저질환,질병,위험률(1000명당)
30대,남성,흡연,음주,없음,없음,폐암,9.9
30대,남성,흡연,음주,없음,없음,간암,9.8
30대,남성,흡연,음주,없음,없음,위암,10.8
30대,남성,흡연,음주,없음,없음,대장암,9.4
30대,남성,흡연,음주,없음,없음,유방암,7.0
30대,남성,흡연,음주,없음,없음,갑상선암,5.8
30대,남성,흡연,음주,없음,없음,췌장암,1.5
30대,남성,흡연,음주,없음,없음,뇌졸중,7.5
30대,남성,흡연,음주,없음,없음,뇌출혈,10.2
30대,남성,흡연,음주,없음,없음,치매,11.3
30대,남성,흡연,음주,없음,없음,심근경색,0.4
30대,남성,흡연,음주,없음,없음,허혈성심장질환,10.0
30대,남성,흡연,음주,없음,없음,심장판막증,4.5
30대,남성,흡연,음주,없음,고혈압,폐암,5.3
30대,남성,흡연,음주,없음,고혈압,간암,1.7
30대,남성,흡연,음주,없음,고혈압,위암,2.7
30대,남성,흡연,음주,없음,고혈압,대장암,11.0
30대,남성,흡연,음주,없음,고혈압,유방암,8.1
30대,남성,흡연,음주,없음,고혈압,갑상선암,3.3
30대,남성,흡연,음주,없음,고혈압,췌장암,8.9
30대,남성,흡연,음주,없음,고혈압,뇌졸중,8.1
30대,남성,흡연,음주,없음,고혈압,뇌출혈,6.2
30대,남성,흡연,음주,없음,고혈압,치매,0.9
30대,남성,흡연,음주,없음,고혈압,심근경색,4.1
30대,남성,흡연,음주,없음,고혈압,허혈성심장질환,8.5
30대,남성,흡연,음주,없음,고혈압,심장판막증,5.1
30대,남성,흡연,음주,없음,당뇨,폐암,1.5
30대,남성,흡연,음주,없음,당뇨,간암,5.1
30대,남성,흡연,음주,없음,당뇨,위암,4.6
30대,남성,흡연,음주,없음,당뇨,대장암,3.9
30대,남성,흡연,음주,없음,당뇨,유방암,2.9
30대,남성,흡연,음주,없음,당뇨,갑상선암,6.1
30대,남성,흡연,음주,없음,당뇨,췌장암,8.5
30대,남성,흡연,음주,없음,당뇨,뇌졸중,2.9
30대,남성,흡연,음주,없음,당뇨,뇌출혈,0.6
30대,남성,흡연,음주,없음,당뇨,치매,9.1
30대,남성,흡연,음주,없음,당뇨,심근경색,9.0
30대,남성,흡연,음주,없음,당뇨,허혈성심장질환,8.8
30대,남성,흡연,음주,없음,당뇨,심장판막증,5.6
30대,남성,흡연,음주,없음,이상지질혈증,폐암,12.0
30대,남성,흡연,음주,없음,이상지질혈증,간암,1.1
30대,남성,흡연,음주,없음,이상지질혈증,위암,10.9
30대,남성,흡연,음주,없음,이상지질혈증,대장암,8.3
30대,남성,흡연,음주,없음,이상지질혈증,유방암,6.0
30대,남성,흡연,음주,없음,이상지질혈증,갑상선암,3.5
30대,남성,흡연,음주,없음,이상지질혈증,췌장암,4.0
30대,남성,흡연,음주,없음,이상지질혈증,뇌졸중,1.0
30대,남성,흡연,음주,없음,이상지질혈증,뇌출혈,2.9
30대,남성,흡연,음주,없음,이상지질혈증,치매,1.2
30대,남성,흡연,음주,없음,이상지질혈증,심근경색,2.6
30대,남성,흡연,음주,없음,이상지질혈증,허혈성심장질환,5.0
30대,남성,흡연,음주,없음,이상지질혈증,심장판막증,2.0
30대,남성,흡연,음주,없음,고혈압+당뇨,폐암,9.5
30대,남성,흡연,음주,없음,고혈압+당뇨,간암,2.7
30대,남성,흡연,음주,없음,고혈압+당뇨,위암,7.8
30대,남성,흡연,음주,없음,고혈압+당뇨,대장암,1.1
30대,남성,흡연,음주,없음,고혈압+당뇨,유방암,10.9
30대,남성,흡연,음주,없음,고혈압+당뇨,갑상선암,4.8
30대,남성,흡연,음주,없음,고혈압+당뇨,췌장암,10.3
